encoder,decoder,dataset,seed,latency_ms_per_image,peak_memory_MB,total_params_M,trainable_params_M,flops_G,flops_source,n_warmup,n_timed,device_used,test_dice,test_iou
resnet,boundformer,tn3k,3,5.37,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.7606490509850639,0.6579738313501532
resnet,boundformer,tn3k,4,5.253,352.45,24.175,24.175,5.588,fvcore,5,20,cuda,0.7645489225139865,0.6649367654478395
resnet,xboundformer,busi,0,7.096,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8076536760610693,0.7113873152171865
resnet,xboundformer,busi,1,7.092,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8013993782155654,0.7002134252997005
resnet,xboundformer,busi,2,7.283,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8130110782735488,0.7135993803248686
resnet,xboundformer,busi,3,7.712,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8093033152468064,0.7091067152864793
resnet,xboundformer,busi,4,7.152,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8025576507343966,0.6999311938005335
resnet,xboundformer,isic2018,0,7.117,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8871675023665795,0.8112609395614037
resnet,xboundformer,isic2018,1,7.067,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8863343486419091,0.81125217125966
resnet,xboundformer,isic2018,2,7.055,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8912323942551246,0.8169034939545852
resnet,xboundformer,isic2018,3,7.169,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8906125637201162,0.8160214671721825
resnet,xboundformer,isic2018,4,7.138,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.888599587403811,0.8135222664246192
resnet,xboundformer,polyp_kvasir,0,7.012,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8794964551925659,0.8079107174506555
resnet,xboundformer,polyp_kvasir,1,7.089,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8741452418840848,0.8023538910425626
resnet,xboundformer,polyp_kvasir,2,7.092,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8791642051476699,0.8064352228091314
resnet,xboundformer,polyp_kvasir,3,7.063,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8872151787464435,0.8150191903114319
resnet,xboundformer,polyp_kvasir,4,7.228,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8802892978374774,0.8102094255960904
resnet,xboundformer,tn3k,0,7.146,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8018412117834215,0.7055353777749198
resnet,xboundformer,tn3k,1,7.182,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8007045937823011,0.7049669035069355
resnet,xboundformer,tn3k,2,7.104,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.8017657492067907,0.7076595503014403
resnet,xboundformer,tn3k,3,7.015,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.7986671909109339,0.7050660879581006
resnet,xboundformer,tn3k,4,7.256,585.41,52.058,52.058,9.42,fvcore,5,20,cuda,0.7990365864394547,0.7039614528804631
swin,bat,busi,0,4.018,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.8040637408985811,0.7080932750421411
swin,bat,busi,1,4.116,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.7940198253182804,0.698153068037594
swin,bat,busi,2,4.744,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.7983261241632349,0.7010449311312508
swin,bat,busi,3,4.753,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.8070942724452299,0.7134512733010685
swin,bat,busi,4,4.749,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.8021943428937126,0.7068858707652372
swin,bat,isic2018,0,3.948,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.891693730537708,0.8193265181321364
swin,bat,isic2018,1,3.959,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.8926899203887353,0.8192190436216501
swin,bat,isic2018,2,4.013,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.8882886895766625,0.8154876140447763
swin,bat,isic2018,3,4.107,351.57,38.7,38.7,6.754,fvcore,5,20,cuda,0.8934749768330501,0.8192958510839022
